Rating	Time	Rating_2	Time_2	Ratings_3	Units_3
4	3	5	2	5	1
5	6	5	5	5	1
5	3	4	6	5	1
5	3	5	1	4	4
1	4	5	1	3	4
4	1	5	1	5	5
5	1	3	1	5	5
4	1	4	1	5	1
2	1	5	2	4	1
4	1	3	3	5	1
5	1	5	4	5	1
5	1	4	4	5	1
3	1	2	4	3	1
5	1	5	1	3	2
2	1	4	1	4	2
4	1	5	1	1	2
5	2	5	1	4	2
5	2	5	1	4	2
3	2	3	1	2	2
5	2	5	1	5	2
4	2	4	1	4	2
1	3	5	1	5	2
5	3	5	1	4	3
4	3	5	2	5	3
1	3	1	2	5	3
4	3	4	2	5	3
4	3	4	2	1	3
3	3	4	2	4	4
5	4	5	2	5	4
5	4	4	2	5	1
1	4	4	2	5	1
4	4	5	2	5	1
3	4	4	3	5	1
5	4	4	3	4	1
4	4	4	3	5	1
4	4	5	3	4	1
5	4	4	3	3	1
4	4	4	3	4	1
4	4	5	3	5	1
4	4	5	3	5	1
5	5	4	4	5	1
5	5	4	4	5	1
1	5	5	4	5	1
5	5	4	4	5	1
5	5	5	4	5	1
5	5	1	4	4	1
5	6	4	4	5	1
5	6	5	5	5	1
2	6	5	5	5	1
2	6	2	5	5	1
4	6	4	5	5	1
5	7	5	5	5	1
5	7	5	6	5	1
1	7	5	6	5	1
5	7	5	6	4	1
4	7	5	6	5	2
5	7	5	6	4	2
5	7	5	6	4	2
5	7	1	7	1	2
4	8	5	7	3	2
4	8	5	7	5	1
4	8	3	7	4	2
5	8	1	7	4	2
5	8	4	7	5	2
4	9	3	7	4	2
5	9	3	7	5	2
4	9	5	7	5	2
4	9	3	7	5	2
5	9	5	7	5	2
4	9	4	7	5	2
5	9	4	7	3	2
5	9	4	8	5	2
5	9	1	8	3	2
3	9	5	8	5	2
5	10	5	8	4	2
5	10	5	8	5	2
4	10	5	8	1	2
5	10	4	8	5	2
5	10	4	8	4	2
2	10	5	8	5	2
4	10	1	8	5	2
5	11	4	9	5	2
2	11	5	9	4	2
4	11	5	9	5	2
5	11	4	9	4	2
3	11	5	9	5	3
4	11	3	9	5	3
1	11	4	9	5	3
4	11	5	9	5	3
5	11	4	9	3	3
3	11	5	9	4	3
4	11	3	9	4	3
5	11	3	9	5	3
5	11	5	10	5	3
5	11	5	10	5	3
3	11	5	10	4	3
4	1	5	10	5	3
3	1	5	10	4	3
3	1	2	10	5	3
4	1	3	10	5	3
4	1	4	10	5	3
5	1	4	10	5	3
4	1	5	10	5	3
5	1	5	10	5	3
4	1	5	10	5	3
4	1	4	11	5	3
4	1	5	11	5	3
5	1	4	11	5	3
5	1	4	11	4	3
5	1	1	11	2	3
5	1	5	11	5	3
5	1	4	11	1	3
4	1	5	11	1	3
		5	11	5	3
		4	11	5	3
		4	11	4	3
		1	11	5	3
		3	1		
		4	1		
		5	1		
		4	1		
		5	1		
		4	1		
		4	1		
		5	1		
		4	1		
		5	1		
		4	1		
		5	1		
		1	1		
		1	1		
		5	1		
		3	1		
		5	1		
		3	1		
		4	1		
